Instance,Edges,k,Seed,Objective,Total Time (s),Evals
ktruss1,45,2,8158,118.575469,18.998,5632
ktruss1,45,2,7284,118.039418,19.066,6781
ktruss1,45,2,6948,118.943601,18.759,1715
ktruss1,45,2,6119,117.916218,18.318,10478
ktruss1,45,2,5253,118.171888,18.713,8184
ktruss1,45,2,5134,117.925425,18.573,12705
ktruss1,45,2,7350,117.916218,18.436,304
ktruss1,45,2,2652,117.916218,18.667,7821
ktruss1,45,2,9968,117.916218,18.211,3455
ktruss1,45,2,3914,118.3201,17.973,9507
ktruss1,45,2,6899,118.030211,18.783,2075
ktruss1,45,2,4715,118.171888,19.723,5334
ktruss1,45,4,8115,67.396509,18.531,2541
ktruss1,45,4,3520,63.738791,18.49,10273
ktruss1,45,4,8647,68.590278,17.988,13959
ktruss1,45,4,9420,67.396509,18.747,6818
ktruss1,45,4,3116,65.912851,17.879,13382
ktruss1,45,4,6377,63.265873,18.259,6965
ktruss1,45,4,6207,64.958109,18.17,1106
ktruss1,45,4,4187,66.503367,18.445,11179
ktruss1,45,4,3641,69.213779,18.287,6315
ktruss1,45,4,8591,62.861991,18.659,1187
ktruss1,45,4,3580,66.090278,19.182,6357
ktruss1,45,4,8524,68.537885,19.002,14355
ktruss1,45,4,2650,64.958109,19.242,13632
ktruss1,45,4,2811,66.151878,18.316,8853
ktruss1,45,4,9963,67.090278,18.346,9086
ktruss1,45,4,7537,69.169755,18.49,3872
ktruss1,45,4,3472,69.072102,18.506,5592
ktruss1,45,4,3714,66.686396,19.76,5347
ktruss1,45,4,8158,68.423591,18.769,12010
ktruss1,45,4,7284,66.800389,18.148,9131
ktruss1,45,4,6948,63.816733,18.248,11075
ktruss1,45,4,6119,67.396509,18.939,7222
ktruss1,45,4,5253,66.124497,18.312,3001
ktruss1,45,4,5134,66.49416,18.322,5437
ktruss1,45,4,7350,66.099485,18.437,12578
ktruss1,45,4,2652,68.948902,18.081,7504
ktruss1,45,4,9968,67.599485,18.331,6433
ktruss1,45,4,3914,68.907548,18.55,13567
ktruss1,45,4,6899,64.958109,18.51,4323
ktruss1,45,4,4715,64.66822,18.147,3502
ktruss1,45,8,8115,42.16822,18.525,11113
ktruss1,45,8,3520,40.807764,19.858,8309
ktruss1,45,8,8647,42.054227,18.284,8604
ktruss1,45,8,9420,41.686396,18.165,4267
ktruss1,45,8,3116,41.686396,18.278,8789
ktruss1,45,8,6377,42.115827,18.259,8899
ktruss1,45,8,6207,41.282514,18.447,6529
ktruss1,45,8,4187,40.807764,18.447,3
ktruss1,45,8,3641,41.291721,19.306,14135
ktruss1,45,8,8591,42.115827,19.025,5931
ktruss1,45,8,3580,42.132169,18.022,11358
ktruss1,45,8,8524,42.115827,18.659,6042
ktruss1,45,8,2650,40.843815,19.063,14670
ktruss1,45,8,2811,41.686396,18.569,13957
ktruss1,45,8,9963,41.403882,18.76,1959
